Brand,Model,Body_Type,Variant_Tier,Year,Engine_Size,Battery_kWh,Fuel_Type,Transmission,Mileage,Seats,Owner_Count,Price
Kia,Seltos,SUV,Top,2026,1.5,0.0,Diesel,Manual,6292,5,1,1785000
Honda,Brio,Hatchback,Top,2019,1.2,0.0,Petrol,Manual,106710,5,1,235000
Renault,Kwid,Hatchback,Base,2023,0.8,0.0,Petrol,Manual,45295,5,1,385000
Tata,Punch,SUV,Base,2021,1.2,0.0,Petrol,AMT,37453,5,1,520000
Maruti Suzuki,Swift,Hatchback,Base,2019,1.3,0.0,Diesel,Manual,104637,5,1,365000
Mercedes-Benz,C-Class,Sedan,Mid,2025,2.0,0.0,Petrol,Automatic,14509,5,1,4780000
Kia,Seltos,SUV,Base,2020,1.5,0.0,Diesel,Automatic,53949,5,1,1095000
Kia,Sonet,SUV,Base,2025,1.0,0.0,Petrol,DCT,8579,5,1,1110000
Maruti Suzuki,Dzire,Sedan,Top,2019,1.3,0.0,Diesel,Manual,162948,5,1,490000
Honda,Amaze,Sedan,Mid,2022,1.2,0.0,Petrol,Manual,29891,5,1,590000
Hyundai,Creta,SUV,Top,2016,1.6,0.0,Petrol,Manual,104541,5,2,515000
MG,Astor,SUV,Base,2024,1.5,0.0,Petrol,Manual,19348,5,1,1060000
Mahindra,TUV300,SUV,Top,2020,1.5,0.0,Diesel,Manual,137191,7,2,515000
Volkswagen,Polo,Hatchback,Base,2020,1.0,0.0,Petrol,Manual,58386,5,1,505000
Honda,Amaze,Sedan,Top,2019,1.2,0.0,Petrol,Manual,99143,5,2,395000
Maruti Suzuki,S-Cross,SUV,Base,2022,1.5,0.0,Petrol,Automatic,25048,5,1,815000
Toyota,Fortuner,SUV,Mid,2025,2.8,0.0,Diesel,Manual,20319,7,1,4920000
Maruti Suzuki,Wagon R,Hatchback,Mid,2020,1.0,0.0,CNG,Manual,155023,5,1,360000
Volkswagen,Vento,Sedan,Mid,2019,1.6,0.0,Petrol,Manual,72683,5,2,475000
Mahindra,XUV700,SUV,Mid,2022,2.0,0.0,Petrol,Manual,36139,7,1,1435000
Kia,Seltos,SUV,Mid,2019,1.5,0.0,Petrol,Manual,58270,5,2,775000
Hyundai,Verna,Sedan,Top,2020,1.5,0.0,Diesel,Manual,156826,5,2,755000
Mercedes-Benz,A-Class Limousine,Sedan,Base,2024,1.3,0.0,Petrol,Automatic,19493,5,1,3350000
Nissan,Sunny,Sedan,Mid,2020,1.5,0.0,Petrol,Manual,52876,5,2,435000
Kia,Sonet,SUV,Mid,2022,1.5,0.0,Diesel,Automatic,85848,5,1,830000
Maruti Suzuki,Ciaz,Sedan,Top,2020,1.5,0.0,Petrol,Manual,50933,5,1,695000
Honda,City,Sedan,Mid,2015,1.5,0.0,Petrol,CVT,54871,5,1,540000
Maruti Suzuki,Celerio,Hatchback,Mid,2020,1.0,0.0,Petrol,AMT,45826,5,2,345000
Maruti Suzuki,Baleno,Hatchback,Mid,2016,1.3,0.0,Diesel,Manual,209842,5,2,270000
Tata,Tigor,Sedan,Mid,2026,1.2,0.0,Petrol,AMT,3917,5,1,775000
Tata,Harrier,SUV,Mid,2022,2.0,0.0,Diesel,Automatic,60287,5,2,1460000
BMW,X3,SUV,Base,2025,2.0,0.0,Petrol,Automatic,14617,5,1,5515000
Hyundai,i20,Hatchback,Top,2017,1.2,0.0,Petrol,Manual,138852,5,1,350000
Hyundai,Creta,SUV,Mid,2015,1.6,0.0,Diesel,Manual,161020,5,1,425000
Honda,City,Sedan,Top,2018,1.5,0.0,Petrol,CVT,68215,5,1,730000
Maruti Suzuki,Ignis,Hatchback,Base,2023,1.2,0.0,Petrol,Manual,21603,5,1,510000
Maruti Suzuki,Dzire,Sedan,Top,2019,1.3,0.0,Diesel,Manual,76332,5,1,650000
Honda,City,Sedan,Base,2020,1.5,0.0,Petrol,CVT,64270,5,1,745000
Maruti Suzuki,S-Cross,SUV,Top,2022,1.5,0.0,Petrol,Manual,29698,5,1,950000
Tata,Tiago,Hatchback,Top,2025,1.2,0.0,Petrol,Manual,16476,5,1,655000
Hyundai,Tucson,SUV,Base,2023,2.0,0.0,Petrol,Automatic,47162,5,3,1540000
Volkswagen,Jetta,Sedan,Mid,2018,1.6,0.0,Diesel,Manual,151012,5,1,590000
Tata,Punch,SUV,Base,2023,1.2,0.0,CNG,Manual,20524,5,1,595000
Hyundai,Grand i10 Nios,Hatchback,Top,2024,1.2,0.0,Petrol,Manual,24807,5,1,680000
Volkswagen,Ameo,Sedan,Mid,2020,1.5,0.0,Diesel,Manual,59448,5,1,465000
Skoda,Superb,Sedan,Base,2022,2.0,0.0,Petrol,Automatic,39011,5,1,2480000
Hyundai,Creta,SUV,Base,2021,1.5,0.0,Diesel,Manual,63651,5,2,955000
Maruti Suzuki,Eeco,MPV,Top,2024,1.2,0.0,CNG,Manual,85440,5,1,560000
Tata,Tigor,Sedan,Mid,2025,1.2,0.0,Petrol,Manual,8327,5,1,650000
Maruti Suzuki,Dzire,Sedan,Top,2022,1.2,0.0,Petrol,Manual,43546,5,1,705000
Maruti Suzuki,Brezza,SUV,Base,2017,1.3,0.0,Diesel,Manual,175824,5,2,340000
Maruti Suzuki,Alto 800,Hatchback,Mid,2021,0.8,0.0,Petrol,Manual,67488,5,1,285000
Kia,Sonet,SUV,Mid,2026,1.0,0.0,Petrol,DCT,6487,5,1,1305000
Tata,Tiago,Hatchback,Mid,2024,1.2,0.0,Petrol,Manual,24892,5,1,640000
Tata,Punch,SUV,Top,2025,1.2,0.0,CNG,Manual,37430,5,1,835000
Kia,Sonet,SUV,Mid,2023,1.2,0.0,Petrol,Manual,51978,5,1,780000
Honda,Amaze,Sedan,Base,2025,1.2,0.0,Petrol,Manual,17354,5,1,665000
Mahindra,Thar,SUV,Top,2021,2.2,0.0,Diesel,Manual,69806,4,1,1250000
Maruti Suzuki,Dzire,Sedan,Top,2022,1.2,0.0,Petrol,AMT,40025,5,1,725000
Maruti Suzuki,Swift,Hatchback,Mid,2024,1.2,0.0,CNG,Manual,37954,5,1,730000
Tata,Tiago,Hatchback,Top,2025,1.2,0.0,CNG,Manual,28459,5,1,675000
Honda,City,Sedan,Top,2018,1.5,0.0,Petrol,Manual,183802,5,1,440000
Mahindra,Thar,SUV,Mid,2020,2.2,0.0,Diesel,Manual,78229,4,3,855000
Kia,Seltos,SUV,Base,2022,1.5,0.0,Petrol,CVT,70774,5,2,1035000
Mahindra,XUV700,SUV,Mid,2024,2.2,0.0,Diesel,Automatic,25204,7,2,2065000
Toyota,Fortuner,SUV,Base,2024,2.8,0.0,Diesel,Manual,27259,7,2,3530000
Mahindra,Thar,SUV,Base,2015,2.5,0.0,Diesel,Manual,213282,4,1,345000
Hyundai,Grand i10 Nios,Hatchback,Mid,2020,1.2,0.0,CNG,Manual,54333,5,1,570000
Maruti Suzuki,Alto K10,Hatchback,Top,2026,1.0,0.0,CNG,Manual,3749,5,1,505000
Hyundai,Tucson,SUV,Base,2021,2.0,0.0,Petrol,Automatic,161834,5,1,1160000
Maruti Suzuki,Brezza,SUV,Top,2023,1.5,0.0,CNG,Manual,47294,5,1,1125000
Hyundai,Creta,SUV,Top,2025,1.5,0.0,Diesel,Manual,16765,5,2,1395000
Renault,Kwid,Hatchback,Mid,2021,0.8,0.0,Petrol,Manual,48192,5,1,365000
Maruti Suzuki,Ertiga,MPV,Base,2019,1.5,0.0,Petrol,Manual,69888,7,1,530000
Maruti Suzuki,Wagon R,Hatchback,Mid,2018,1.0,0.0,Petrol,AMT,51451,5,1,355000
Maruti Suzuki,Eeco,MPV,Base,2020,1.2,0.0,Petrol,Manual,104103,5,1,280000
Hyundai,Eon,Hatchback,Top,2019,1.0,0.0,Petrol,Manual,55331,5,1,230000
Tata,Tiago,Hatchback,Mid,2023,1.2,0.0,Petrol,AMT,19232,5,1,570000
Toyota,Camry,Sedan,Base,2019,2.5,0.0,Petrol Hybrid,e-CVT,102533,5,1,1930000
Kia,Sonet,SUV,Base,2024,1.0,0.0,Petrol,iMT,20517,5,1,880000
Tata,Tiago,Hatchback,Base,2024,1.2,0.0,Petrol,Manual,16651,5,2,440000
Hyundai,Creta,SUV,Mid,2025,1.5,0.0,Petrol,DCT,11040,5,2,1565000
Skoda,Kushaq,SUV,Mid,2026,1.0,0.0,Petrol,Automatic,1703,5,1,1505000
Maruti Suzuki,Baleno,Hatchback,Base,2021,1.2,0.0,Petrol,AMT,25958,5,1,605000
Maruti Suzuki,Alto K10,Hatchback,Mid,2022,1.0,0.0,Petrol,AMT,27480,5,1,415000
Maruti Suzuki,Swift,Hatchback,Base,2018,1.2,0.0,Petrol,Manual,118699,5,1,280000
Tata,Nexon,SUV,Top,2022,1.2,0.0,Petrol,Manual,32605,5,1,960000
Honda,Jazz,Hatchback,Top,2020,1.2,0.0,Petrol,CVT,51501,5,2,650000
Maruti Suzuki,Baleno,Hatchback,Mid,2019,1.2,0.0,Petrol,CVT,22250,5,2,570000
Toyota,Etios Liva,Hatchback,Top,2016,1.2,0.0,Petrol,Manual,107945,5,1,185000
Maruti Suzuki,Dzire,Sedan,Base,2026,1.2,0.0,Petrol,Manual,5976,5,1,660000
Tata,Punch,SUV,Mid,2021,1.2,0.0,Petrol,Manual,55725,5,1,525000
Honda,Amaze,Sedan,Mid,2020,1.5,0.0,Diesel,CVT,55154,5,2,545000
Hyundai,Creta,SUV,Mid,2019,1.6,0.0,Petrol,Manual,41738,5,1,670000
Hyundai,Grand i10 Nios,Hatchback,Base,2019,1.2,0.0,Petrol,Manual,112017,5,1,310000
Mahindra,XUV700,SUV,Mid,2021,2.2,0.0,Diesel,Automatic,78103,7,1,1660000
Hyundai,Verna,Sedan,Mid,2023,1.5,0.0,Petrol,DCT,29863,5,2,1130000
Maruti Suzuki,Swift,Hatchback,Top,2016,1.3,0.0,Diesel,Manual,155256,5,2,310000
Maruti Suzuki,Swift,Hatchback,Base,2025,1.2,0.0,Petrol,Manual,14660,5,1,595000
BMW,X1,SUV,Mid,2020,2.0,0.0,Diesel,Automatic,124398,5,2,1920000
Datsun,redi-GO,Hatchback,Mid,2016,1.0,0.0,Petrol,Manual,145845,5,2,85000
Tata,Punch,SUV,Top,2023,1.2,0.0,Petrol,Manual,40303,5,1,730000
Maruti Suzuki,Fronx,SUV,Base,2025,1.2,0.0,CNG,Manual,22047,5,1,795000
BMW,X5,SUV,Base,2024,3.0,0.0,Petrol,Automatic,20127,5,2,7605000
Kia,Sonet,SUV,Base,2022,1.5,0.0,Diesel,Manual,48124,5,1,880000
Tata,Nexon,SUV,Top,2021,1.5,0.0,Diesel,AMT,70234,5,1,1075000
Honda,Amaze,Sedan,Mid,2021,1.2,0.0,Petrol,CVT,32555,5,1,570000
Maruti Suzuki,Grand Vitara,SUV,Top,2024,1.5,0.0,Petrol,Manual,26914,5,2,1315000
Maruti Suzuki,Swift,Hatchback,Mid,2020,1.2,0.0,Petrol,Manual,54256,5,1,435000
Ford,Figo,Hatchback,Mid,2021,1.5,0.0,Diesel,Manual,85417,5,2,385000
